quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
0:0,578,0,513,65,1,0.0,0.0
0:1,551,0,338,213,1,0.0,9.297563190637049e-05
0:2,584,0,407,177,1,0.0,0.00018595126381274098
0:3,559,0,393,166,1,0.0,0.0002789268957191115
0:4,0,0,0,0,1,0.0,0.00037190252762548195
1:0,710,2,669,39,1,-9.360224087471372e-05,0.0
1:1,732,1,689,42,1,-9.36022408745901e-05,9.297563190649372e-05
1:2,689,0,623,66,1,-9.360224087446523e-05,0.00018595126381298744
1:3,650,1,519,130,1,-9.36022408743403e-05,0.00027892689571948115
1:4,0,0,0,0,1,-9.360224087421542e-05,0.0003719025276259749
2:0,729,2,708,19,1,-0.0001872044817494224,0.0
2:1,737,0,721,16,1,-0.00018720448174917333,9.297563190686345e-05
2:2,727,1,692,34,1,-0.00018720448174892353,0.0001859512638137269
2:3,737,0,672,65,1,-0.00018720448174867373,0.00027892689572059034
2:4,0,0,0,0,1,-0.0001872044817484239,0.0003719025276274538
3:0,0,0,0,0,1,-0.0002808067226241211,0.0
3:1,0,0,0,0,1,-0.0002808067226237496,9.297563190747961e-05
3:2,0,0,0,0,1,-0.00028080672262337486,0.00018595126381495923
3:3,0,0,0,0,1,-0.00028080672262300016,0.00027892689572243885
3:4,0,0,0,0,1,-0.00028080672262262546,0.0003719025276299185
